ID,NAME,CITY,SHORT_NAME,COORDINATES
04007,GUADALAJARA - YEBES,GUADALAJARA,04007,"{""latitude"":40.587315,""longitude"":-3.124301}"
04040,ZARAGOZA-DELICIAS,ZARAGOZA,ZARAG,"{""latitude"":41.658649,""longitude"":-0.911615}"
04104,CAMP TARRAGONA,TARRAGONA,04104,"{""latitude"":41.192066,""longitude"":1.272666}"
04307,FIGUERES VILAFANT,FIGUERES,04307,"{""latitude"":42.264771,""longitude"":2.943547}"
60000,MADRID PTA. ATOCHA - ALMUDENA GRANDES,MADRID,MADRI,"{""latitude"":40.406442,""longitude"":-3.690886}"
70600,CALATAYUD,CALATAYUD,70600,"{""latitude"":41.346692,""longitude"":-1.63868}"
71801,BARCELONA-SANTS,BARCELONA,BARCE,"{""latitude"":41.37922,""longitude"":2.140624}"
78400,LLEIDA-PIRINEUS,LLEIDA,78400,"{""latitude"":41.620696,""longitude"":0.632669}"
79206,GIRONA,GIRONA,79206,"{""latitude"":41.953481,""longitude"":2.80536}"
87374,PERPIGNAN,PERPIGNAN,87374,"{""latitude"":42.696421,""longitude"":2.880381}"
