ID,DATE,LINE,TRAIN_SERVICE_PROVIDER,TIME_SLOT,ROLLING_STOCK
05065_02-06-2025-06.32,2025-06-02,05065,1,39210,1
05065_03-06-2025-06.32,2025-06-03,05065,1,39210,1
05065_04-06-2025-06.32,2025-06-04,05065,1,39210,1
05065_05-06-2025-06.32,2025-06-05,05065,1,39210,1
05065_06-06-2025-06.32,2025-06-06,05065,1,39210,1
05065_09-06-2025-06.32,2025-06-09,05065,1,39210,1
05065_10-06-2025-06.32,2025-06-10,05065,1,39210,1
05065_11-06-2025-06.32,2025-06-11,05065,1,39210,1
05065_12-06-2025-06.32,2025-06-12,05065,1,39210,1
05065_13-06-2025-06.32,2025-06-13,05065,1,39210,1
05071_02-06-2025-07.42,2025-06-02,05071,1,46210,1
05071_03-06-2025-07.42,2025-06-03,05071,1,46210,1
05071_04-06-2025-07.42,2025-06-04,05071,1,46210,1
05071_05-06-2025-07.42,2025-06-05,05071,1,46210,1
05071_06-06-2025-07.42,2025-06-06,05071,1,46210,1
05071_09-06-2025-07.42,2025-06-09,05071,1,46210,1
05071_10-06-2025-07.42,2025-06-10,05071,1,46210,1
05071_11-06-2025-07.42,2025-06-11,05071,1,46210,1
05071_12-06-2025-07.42,2025-06-12,05071,1,46210,1
05071_13-06-2025-07.42,2025-06-13,05071,1,46210,1
05075_07-06-2025-07.32,2025-06-07,05075,1,45210,1
05075_08-06-2025-07.32,2025-06-08,05075,1,45210,1
05075_14-06-2025-07.32,2025-06-14,05075,1,45210,1
05075_15-06-2025-07.32,2025-06-15,05075,1,45210,1
05081_02-06-2025-08.42,2025-06-02,05081,1,52210,1
05081_03-06-2025-08.42,2025-06-03,05081,1,52210,1
05081_04-06-2025-08.42,2025-06-04,05081,1,52210,1
05081_05-06-2025-08.42,2025-06-05,05081,1,52210,1
05081_06-06-2025-08.42,2025-06-06,05081,1,52210,1
05081_07-06-2025-08.42,2025-06-07,05081,1,52210,1
05081_09-06-2025-08.42,2025-06-09,05081,1,52210,1
05081_10-06-2025-08.42,2025-06-10,05081,1,52210,1
05081_11-06-2025-08.42,2025-06-11,05081,1,52210,1
05081_12-06-2025-08.42,2025-06-12,05081,1,52210,1
05081_13-06-2025-08.42,2025-06-13,05081,1,52210,1
05081_14-06-2025-08.42,2025-06-14,05081,1,52210,1
05095_02-06-2025-09.32,2025-06-02,05095,1,57210,1
05095_03-06-2025-09.32,2025-06-03,05095,1,57210,1
05095_04-06-2025-09.32,2025-06-04,05095,1,57210,1
05095_05-06-2025-09.32,2025-06-05,05095,1,57210,1
05095_06-06-2025-09.32,2025-06-06,05095,1,57210,1
05095_07-06-2025-09.32,2025-06-07,05095,1,57210,1
05095_08-06-2025-09.32,2025-06-08,05095,1,57210,1
05095_09-06-2025-09.32,2025-06-09,05095,1,57210,1
05095_10-06-2025-09.32,2025-06-10,05095,1,57210,1
05095_11-06-2025-09.32,2025-06-11,05095,1,57210,1
05095_12-06-2025-09.32,2025-06-12,05095,1,57210,1
05095_13-06-2025-09.32,2025-06-13,05095,1,57210,1
05095_14-06-2025-09.32,2025-06-14,05095,1,57210,1
05095_15-06-2025-09.32,2025-06-15,05095,1,57210,1
05101_02-06-2025-10.32,2025-06-02,05101,1,63210,1
05101_03-06-2025-10.32,2025-06-03,05101,1,63210,1
05101_04-06-2025-10.32,2025-06-04,05101,1,63210,1
05101_05-06-2025-10.32,2025-06-05,05101,1,63210,1
05101_06-06-2025-10.32,2025-06-06,05101,1,63210,1
05101_07-06-2025-10.32,2025-06-07,05101,1,63210,1
05101_08-06-2025-10.32,2025-06-08,05101,1,63210,1
05101_09-06-2025-10.32,2025-06-09,05101,1,63210,1
05101_10-06-2025-10.32,2025-06-10,05101,1,63210,1
05101_11-06-2025-10.32,2025-06-11,05101,1,63210,1
05101_12-06-2025-10.32,2025-06-12,05101,1,63210,1
05101_13-06-2025-10.32,2025-06-13,05101,1,63210,1
05101_14-06-2025-10.32,2025-06-14,05101,1,63210,1
05101_15-06-2025-10.32,2025-06-15,05101,1,63210,1
05131_02-06-2025-13.31,2025-06-02,05131,1,81110,1
05131_03-06-2025-13.31,2025-06-03,05131,1,81110,1
05131_04-06-2025-13.31,2025-06-04,05131,1,81110,1
05131_05-06-2025-13.31,2025-06-05,05131,1,81110,1
05131_06-06-2025-13.31,2025-06-06,05131,1,81110,1
05131_07-06-2025-13.31,2025-06-07,05131,1,81110,1
05131_08-06-2025-13.31,2025-06-08,05131,1,81110,1
05131_09-06-2025-13.31,2025-06-09,05131,1,81110,1
05131_10-06-2025-13.31,2025-06-10,05131,1,81110,1
05131_11-06-2025-13.31,2025-06-11,05131,1,81110,1
05131_12-06-2025-13.31,2025-06-12,05131,1,81110,1
05131_13-06-2025-13.31,2025-06-13,05131,1,81110,1
05131_14-06-2025-13.31,2025-06-14,05131,1,81110,1
05131_15-06-2025-13.31,2025-06-15,05131,1,81110,1
05155_02-06-2025-15.32,2025-06-02,05155,1,93210,1
05155_03-06-2025-15.32,2025-06-03,05155,1,93210,1
05155_04-06-2025-15.32,2025-06-04,05155,1,93210,1
05155_05-06-2025-15.32,2025-06-05,05155,1,93210,1
05155_06-06-2025-15.32,2025-06-06,05155,1,93210,1
05155_07-06-2025-15.32,2025-06-07,05155,1,93210,1
05155_08-06-2025-15.32,2025-06-08,05155,1,93210,1
05155_09-06-2025-15.32,2025-06-09,05155,1,93210,1
05155_10-06-2025-15.32,2025-06-10,05155,1,93210,1
05155_11-06-2025-15.32,2025-06-11,05155,1,93210,1
05155_12-06-2025-15.32,2025-06-12,05155,1,93210,1
05155_13-06-2025-15.32,2025-06-13,05155,1,93210,1
05155_14-06-2025-15.32,2025-06-14,05155,1,93210,1
05155_15-06-2025-15.32,2025-06-15,05155,1,93210,1
05161_02-06-2025-16.35,2025-06-02,05161,1,99510,1
05161_03-06-2025-16.35,2025-06-03,05161,1,99510,1
05161_04-06-2025-16.35,2025-06-04,05161,1,99510,1
05161_05-06-2025-16.35,2025-06-05,05161,1,99510,1
05161_06-06-2025-16.35,2025-06-06,05161,1,99510,1
05161_07-06-2025-16.35,2025-06-07,05161,1,99510,1
05161_08-06-2025-16.35,2025-06-08,05161,1,99510,1
05161_09-06-2025-16.35,2025-06-09,05161,1,99510,1
05161_10-06-2025-16.35,2025-06-10,05161,1,99510,1
05161_11-06-2025-16.35,2025-06-11,05161,1,99510,1
05161_12-06-2025-16.35,2025-06-12,05161,1,99510,1
05161_13-06-2025-16.35,2025-06-13,05161,1,99510,1
05161_14-06-2025-16.35,2025-06-14,05161,1,99510,1
05161_15-06-2025-16.35,2025-06-15,05161,1,99510,1
05171_02-06-2025-17.42,2025-06-02,05171,1,106210,1
05171_03-06-2025-17.42,2025-06-03,05171,1,106210,1
05171_04-06-2025-17.42,2025-06-04,05171,1,106210,1
05171_05-06-2025-17.42,2025-06-05,05171,1,106210,1
05171_06-06-2025-17.42,2025-06-06,05171,1,106210,1
05171_08-06-2025-17.42,2025-06-08,05171,1,106210,1
05171_09-06-2025-17.42,2025-06-09,05171,1,106210,1
05171_10-06-2025-17.42,2025-06-10,05171,1,106210,1
05171_11-06-2025-17.42,2025-06-11,05171,1,106210,1
05171_12-06-2025-17.42,2025-06-12,05171,1,106210,1
05171_13-06-2025-17.42,2025-06-13,05171,1,106210,1
05171_15-06-2025-17.42,2025-06-15,05171,1,106210,1
05181_02-06-2025-18.31,2025-06-02,05181,1,111110,1
05181_03-06-2025-18.31,2025-06-03,05181,1,111110,1
05181_04-06-2025-18.31,2025-06-04,05181,1,111110,1
05181_05-06-2025-18.31,2025-06-05,05181,1,111110,1
05181_06-06-2025-18.31,2025-06-06,05181,1,111110,1
05181_07-06-2025-18.31,2025-06-07,05181,1,111110,1
05181_08-06-2025-18.31,2025-06-08,05181,1,111110,1
05181_09-06-2025-18.31,2025-06-09,05181,1,111110,1
05181_10-06-2025-18.31,2025-06-10,05181,1,111110,1
05181_11-06-2025-18.31,2025-06-11,05181,1,111110,1
05181_12-06-2025-18.31,2025-06-12,05181,1,111110,1
05181_13-06-2025-18.31,2025-06-13,05181,1,111110,1
05181_14-06-2025-18.31,2025-06-14,05181,1,111110,1
05181_15-06-2025-18.31,2025-06-15,05181,1,111110,1
05191_02-06-2025-19.42,2025-06-02,05191,1,118210,1
05191_03-06-2025-19.42,2025-06-03,05191,1,118210,1
05191_04-06-2025-19.42,2025-06-04,05191,1,118210,1
05191_05-06-2025-19.42,2025-06-05,05191,1,118210,1
05191_06-06-2025-19.42,2025-06-06,05191,1,118210,1
05191_08-06-2025-19.42,2025-06-08,05191,1,118210,1
05191_09-06-2025-19.42,2025-06-09,05191,1,118210,1
05191_10-06-2025-19.42,2025-06-10,05191,1,118210,1
05191_11-06-2025-19.42,2025-06-11,05191,1,118210,1
05191_12-06-2025-19.42,2025-06-12,05191,1,118210,1
05191_13-06-2025-19.42,2025-06-13,05191,1,118210,1
05191_15-06-2025-19.42,2025-06-15,05191,1,118210,1
05215_02-06-2025-21.12,2025-06-02,05215,1,127210,1
05215_03-06-2025-21.12,2025-06-03,05215,1,127210,1
05215_04-06-2025-21.12,2025-06-04,05215,1,127210,1
05215_05-06-2025-21.12,2025-06-05,05215,1,127210,1
05215_06-06-2025-21.12,2025-06-06,05215,1,127210,1
05215_07-06-2025-21.12,2025-06-07,05215,1,127210,1
05215_08-06-2025-21.12,2025-06-08,05215,1,127210,1
05215_09-06-2025-21.12,2025-06-09,05215,1,127210,1
05215_10-06-2025-21.12,2025-06-10,05215,1,127210,1
05215_11-06-2025-21.12,2025-06-11,05215,1,127210,1
05215_12-06-2025-21.12,2025-06-12,05215,1,127210,1
05215_13-06-2025-21.12,2025-06-13,05215,1,127210,1
05215_14-06-2025-21.12,2025-06-14,05215,1,127210,1
05215_15-06-2025-21.12,2025-06-15,05215,1,127210,1
05721_02-06-2025-12.31,2025-06-02,05721,1,75110,1
05721_03-06-2025-12.31,2025-06-03,05721,1,75110,1
05721_04-06-2025-12.31,2025-06-04,05721,1,75110,1
05721_05-06-2025-12.31,2025-06-05,05721,1,75110,1
05721_06-06-2025-12.31,2025-06-06,05721,1,75110,1
05721_07-06-2025-12.31,2025-06-07,05721,1,75110,1
05721_08-06-2025-12.31,2025-06-08,05721,1,75110,1
05721_09-06-2025-12.31,2025-06-09,05721,1,75110,1
05721_10-06-2025-12.31,2025-06-10,05721,1,75110,1
05721_11-06-2025-12.31,2025-06-11,05721,1,75110,1
05721_12-06-2025-12.31,2025-06-12,05721,1,75110,1
05721_13-06-2025-12.31,2025-06-13,05721,1,75110,1
05721_14-06-2025-12.31,2025-06-14,05721,1,75110,1
05721_15-06-2025-12.31,2025-06-15,05721,1,75110,1
05871_02-06-2025-06.57,2025-06-02,05871,1,41710,1
05871_03-06-2025-06.57,2025-06-03,05871,1,41710,1
05871_04-06-2025-06.57,2025-06-04,05871,1,41710,1
05871_05-06-2025-06.57,2025-06-05,05871,1,41710,1
05871_06-06-2025-06.57,2025-06-06,05871,1,41710,1
05871_07-06-2025-06.57,2025-06-07,05871,1,41710,1
05871_08-06-2025-06.57,2025-06-08,05871,1,41710,1
05871_09-06-2025-06.57,2025-06-09,05871,1,41710,1
05871_10-06-2025-06.57,2025-06-10,05871,1,41710,1
05871_11-06-2025-06.57,2025-06-11,05871,1,41710,1
05871_12-06-2025-06.57,2025-06-12,05871,1,41710,1
05871_13-06-2025-06.57,2025-06-13,05871,1,41710,1
05871_14-06-2025-06.57,2025-06-14,05871,1,41710,1
05871_15-06-2025-06.57,2025-06-15,05871,1,41710,1
05951_02-06-2025-15.09,2025-06-02,05951,1,90910,1
05951_03-06-2025-15.09,2025-06-03,05951,1,90910,1
05951_04-06-2025-15.09,2025-06-04,05951,1,90910,1
05951_05-06-2025-15.09,2025-06-05,05951,1,90910,1
05951_06-06-2025-15.09,2025-06-06,05951,1,90910,1
05951_07-06-2025-15.09,2025-06-07,05951,1,90910,1
05951_08-06-2025-15.09,2025-06-08,05951,1,90910,1
05951_09-06-2025-15.09,2025-06-09,05951,1,90910,1
05951_10-06-2025-15.09,2025-06-10,05951,1,90910,1
05951_11-06-2025-15.09,2025-06-11,05951,1,90910,1
05951_12-06-2025-15.09,2025-06-12,05951,1,90910,1
05951_13-06-2025-15.09,2025-06-13,05951,1,90910,1
05951_14-06-2025-15.09,2025-06-14,05951,1,90910,1
05951_15-06-2025-15.09,2025-06-15,05951,1,90910,1
